date,temperature_c,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,wind_speed_kmh,year,month,day_of_year
1975-01-01,20.7,23.49,18.46,0.21,56.2,0.9,1975,1,1
1975-01-02,21.37,23.91,19.24,0.59,57.0,8.5,1975,1,2
1975-01-03,20.45,22.47,16.59,0.93,61.1,9.0,1975,1,3
1975-01-04,19.87,22.91,17.59,0.37,61.3,4.3,1975,1,4
1975-01-05,21.07,24.45,17.17,4.09,66.3,10.7,1975,1,5
1975-01-06,22.3,25.71,18.35,0.04,58.4,9.1,1975,1,6
1975-01-07,17.52,21.0,13.63,1.41,68.8,6.6,1975,1,7
1975-01-08,16.02,19.82,13.03,0.48,54.3,8.8,1975,1,8
1975-01-09,17.63,21.37,15.16,1.22,60.1,5.6,1975,1,9
1975-01-10,18.25,21.58,15.67,0.37,57.4,9.7,1975,1,10
1975-01-11,20.13,23.35,17.7,0.19,58.7,10.1,1975,1,11
1975-01-12,22.34,26.12,19.52,1.67,56.1,4.0,1975,1,12
1975-01-13,19.24,22.85,17.18,0.24,48.8,6.6,1975,1,13
1975-01-14,18.84,22.46,16.75,0.13,55.2,9.0,1975,1,14
1975-01-15,20.76,23.31,18.32,0.84,65.3,8.1,1975,1,15
1975-01-16,21.64,24.07,18.13,0.62,69.7,7.6,1975,1,16
1975-01-17,20.36,23.5,17.68,2.67,51.4,5.3,1975,1,17
1975-01-18,19.68,22.35,17.3,0.51,62.4,9.3,1975,1,18
1975-01-19,20.97,23.62,18.71,0.91,62.1,6.8,1975,1,19
1975-01-20,19.33,22.41,17.15,3.62,57.0,11.4,1975,1,20
1975-01-21,19.61,23.52,16.53,0.24,57.2,12.4,1975,1,21
1975-01-22,21.6,24.6,17.67,2.26,49.1,10.4,1975,1,22
1975-01-23,18.68,22.66,15.9,0.39,66.1,4.5,1975,1,23
1975-01-24,16.59,20.26,13.85,0.38,54.7,8.8,1975,1,24
1975-01-25,18.77,21.79,15.38,0.49,49.3,5.1,1975,1,25
1975-01-26,17.52,19.57,14.78,0.89,49.5,9.9,1975,1,26
1975-01-27,17.39,21.12,15.01,0.48,56.1,3.3,1975,1,27
