date,temperature_c,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,wind_speed_kmh,year,month,day_of_year,season,decade,temp_7day,temp_30day,rain_30day,temp_zscore,is_anomaly
1975-01-01,20.7,23.49,18.46,0.21,56.2,0.9,1975,1,1,Winter,1970,20.6,19.77,0.85,-1.46,0
1975-01-02,21.37,23.91,19.24,0.59,57.0,8.5,1975,1,2,Winter,1970,20.69,19.88,0.84,-1.314,0
1975-01-03,20.45,22.47,16.59,0.93,61.1,9.0,1975,1,3,Winter,1970,20.96,19.91,0.95,-1.515,0
1975-01-04,19.87,22.91,17.59,0.37,61.3,4.3,1975,1,4,Winter,1970,20.47,19.9,0.92,-1.641,0
1975-01-05,21.07,24.45,17.17,4.09,66.3,10.7,1975,1,5,Winter,1970,19.8,19.95,0.92,-1.38,0
1975-01-06,22.3,25.71,18.35,0.04,58.4,9.1,1975,1,6,Winter,1970,19.27,19.92,1.06,-1.112,0
1975-01-07,17.52,21.0,13.63,1.41,68.8,6.6,1975,1,7,Winter,1970,18.95,19.91,1.02,-2.153,0
1975-01-08,16.02,19.82,13.03,0.48,54.3,8.8,1975,1,8,Winter,1970,18.99,19.99,1.07,-2.48,0
1975-01-09,17.63,21.37,15.16,1.22,60.1,5.6,1975,1,9,Winter,1970,19.17,19.93,1.04,-2.129,0
1975-01-10,18.25,21.58,15.67,0.37,57.4,9.7,1975,1,10,Winter,1970,18.73,19.79,1.02,-1.994,0
1975-01-11,20.13,23.35,17.7,0.19,58.7,10.1,1975,1,11,Winter,1970,18.92,19.75,0.99,-1.584,0
1975-01-12,22.34,26.12,19.52,1.67,56.1,4.0,1975,1,12,Winter,1970,19.6,19.66,0.99,-1.103,0
1975-01-13,19.24,22.85,17.18,0.24,48.8,6.6,1975,1,13,Winter,1970,20.17,19.58,0.97,-1.778,0
1975-01-14,18.84,22.46,16.75,0.13,55.2,9.0,1975,1,14,Winter,1970,20.47,19.43,0.97,-1.866,0
1975-01-15,20.76,23.31,18.32,0.84,65.3,8.1,1975,1,15,Winter,1970,20.41,19.32,0.96,-1.447,0
1975-01-16,21.64,24.07,18.13,0.62,69.7,7.6,1975,1,16,Winter,1970,20.21,19.26,0.96,-1.255,0
1975-01-17,20.36,23.5,17.68,2.67,51.4,5.3,1975,1,17,Winter,1970,20.23,19.21,0.99,-1.534,0
1975-01-18,19.68,22.35,17.3,0.51,62.4,9.3,1975,1,18,Winter,1970,20.34,19.28,1.07,-1.683,0
1975-01-19,20.97,23.62,18.71,0.91,62.1,6.8,1975,1,19,Winter,1970,20.46,19.28,1.06,-1.401,0
1975-01-20,19.33,22.41,17.15,3.62,57.0,11.4,1975,1,20,Winter,1970,20.03,19.3,1.16,-1.759,0
1975-01-21,19.61,23.52,16.53,0.24,57.2,12.4,1975,1,21,Winter,1970,19.49,19.26,1.04,-1.698,0
1975-01-22,21.6,24.6,17.67,2.26,49.1,10.4,1975,1,22,Winter,1970,19.36,19.19,1.43,-1.264,0
1975-01-23,18.68,22.66,15.9,0.39,66.1,4.5,1975,1,23,Winter,1970,18.87,19.36,1.41,-1.9,0
1975-01-24,16.59,20.26,13.85,0.38,54.7,8.8,1975,1,24,Winter,1970,18.59,19.6,1.41,-2.356,0
1975-01-25,18.77,21.79,15.38,0.49,49.3,5.1,1975,1,25,Winter,1970,18.01,19.76,1.56,-1.881,0
1975-01-26,17.52,19.57,14.78,0.89,49.5,9.9,1975,1,26,Winter,1970,17.21,19.92,1.55,-2.153,0
1975-01-27,17.39,21.12,15.01,0.48,56.1,3.3,1975,1,27,Winter,1970,17.08,20.06,1.57,-2.182,0
1975-01-28,15.54,18.05,12.29,1.01,61.7,11.8,1975,1,28,Winter,1970,17.43,20.1,1.52,-2.585,1
1975-01-29,15.97,19.85,13.22,0.6,56.9,10.1,1975,1,29,Winter,1970,18.1,20.27,1.55,-2.491,0
1975-01-30,17.75,21.57,15.34,1.03,55.0,8.0,1975,1,30,Winter,1970,18.54,20.42,1.79,-2.103,0
1975-01-31,19.1,21.83,15.35,1.11,57.3,8.9,1975,1,31,Winter,1970,18.97,20.49,1.85,-1.809,0
1975-02-01,23.4,25.54,20.03,2.77,55.4,8.9,1975,2,32,Winter,1970,19.56,20.51,1.84,-0.872,0
1975-02-02,20.65,22.7,18.43,0.81,62.7,7.2,1975,2,33,Winter,1970,20.17,20.62,1.76,-1.471,0
1975-02-03,20.35,23.83,16.86,3.37,64.5,8.8,1975,2,34,Winter,1970,20.88,20.74,1.76,-1.536,0
1975-02-04,19.72,22.96,16.3,0.57,62.2,8.8,1975,2,35,Winter,1970,21.45,20.73,1.73,-1.674,0
1975-02-05,20.21,23.41,16.24,11.48,62.0,9.7,1975,2,36,Winter,1970,21.35,20.74,1.63,-1.567,0
1975-02-06,22.7,25.3,18.92,0.92,62.0,11.9,1975,2,37,Winter,1970,21.66,20.74,1.66,-1.024,0
1975-02-07,23.13,25.92,20.04,0.63,56.0,9.4,1975,2,38,Winter,1970,22.23,20.7,1.62,-0.931,0
1975-02-08,22.66,26.03,18.89,5.7,60.7,8.6,1975,2,39,Winter,1970,22.81,20.88,1.67,-1.033,0
1975-02-09,22.86,25.79,18.97,0.07,60.3,9.9,1975,2,40,Winter,1970,23.4,21.14,1.78,-0.989,0
1975-02-10,24.33,27.49,20.98,0.61,64.0,7.2,1975,2,41,Winter,1970,23.46,21.28,1.79,-0.669,0
1975-02-11,23.78,27.53,21.67,0.25,54.1,10.4,1975,2,42,Winter,1970,23.44,21.5,2.11,-0.789,0
1975-02-12,24.36,27.41,21.63,1.21,61.2,13.0,1975,2,43,Winter,1970,23.38,21.78,2.17,-0.663,0
1975-02-13,23.13,25.28,20.98,7.18,63.6,8.7,1975,2,44,Winter,1970,23.48,22.08,2.17,-0.931,0
1975-02-14,22.96,26.42,20.63,2.75,55.7,7.9,1975,2,45,Winter,1970,23.34,22.4,2.21,-0.968,0
1975-02-15,22.22,26.21,18.81,0.19,57.7,11.3,1975,2,46,Winter,1970,22.91,22.76,2.22,-1.129,0
1975-02-16,23.6,27.16,20.0,0.38,65.0,9.0,1975,2,47,Winter,1970,22.21,23.14,2.19,-0.828,0
1975-02-17,23.32,26.98,19.74,0.36,55.0,9.3,1975,2,48,Winter,1970,21.7,23.31,2.11,-0.889,0
1975-02-18,20.81,23.38,17.0,0.15,67.3,11.0,1975,2,49,Winter,1970,21.35,23.58,2.29,-1.436,0
1975-02-19,19.4,22.97,17.31,0.61,55.7,8.8,1975,2,50,Winter,1970,21.61,23.78,2.23,-1.744,0
1975-02-20,19.56,22.4,17.45,1.24,64.1,8.8,1975,2,51,Winter,1970,21.73,24.04,2.22,-1.709,0
1975-02-21,20.55,23.09,17.65,0.87,56.7,12.0,1975,2,52,Winter,1970,21.67,24.31,1.86,-1.493,0
1975-02-22,24.05,26.27,21.96,2.03,64.1,12.0,1975,2,53,Winter,1970,22.16,24.39,1.87,-0.73,0
1975-02-23,24.44,26.48,20.8,3.6,57.2,7.6,1975,2,54,Winter,1970,23.05,24.48,1.93,-0.645,0
1975-02-24,22.89,25.94,19.19,0.87,58.0,7.5,1975,2,55,Winter,1970,23.78,24.58,1.78,-0.983,0
1975-02-25,24.22,26.36,21.59,10.33,62.0,6.5,1975,2,56,Winter,1970,24.5,24.71,1.84,-0.693,0
1975-02-26,25.63,28.7,23.51,2.35,57.4,15.4,1975,2,57,Winter,1970,25.12,24.73,2.16,-0.386,0
1975-02-27,24.65,28.18,20.81,0.95,64.9,9.6,1975,2,58,Winter,1970,25.99,24.88,2.32,-0.599,0
1975-02-28,25.61,27.95,23.51,1.8,70.8,13.1,1975,2,59,Winter,1970,26.81,25.0,2.55,-0.39,0
1975-03-01,28.42,30.5,26.33,1.44,59.2,13.6,1975,3,60,Spring,1970,27.46,25.15,2.49,0.222,0
